exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-1.366670221	0.000744344	0.029533546	-3.284412741	-3.80E-07	0.033333366
-1.358689461	-0.000276123	0.030987491	-3.275119404	-3.88E-07	0.033333367
-1.350655175	-0.000796006	0.032451187	-3.265826066	-3.96E-07	0.033333368
-1.343079628	0.000130892	0.033031551	-3.256532729	-4.04E-07	0.033333368
-1.334249251	-0.000180317	0.033162329	-3.247239391	-4.12E-07	0.033333369
-1.32747841	0.001872617	0.034087272	-3.237946055	-4.21E-07	0.03333337
-1.316611142	-0.001154869	0.035879128	-3.228652717	-4.29E-07	0.033333371
-1.309792087	0.000810656	0.033677065	-3.21935938	-4.38E-07	0.033333372
-1.301555994	0.000959467	0.030877115	-3.210066044	-4.46E-07	0.033333372
-1.294253155	0.001155936	0.030725703	-3.200772707	-4.55E-07	0.033333373
-1.286660385	-2.73231E-05	0.030740552	-3.19147937	-4.64E-07	0.033333374
-1.277314447	-0.001067916	0.033898216	-3.182186033	-4.73E-07	0.033333375
-1.271073898	0.002055663	0.036370173	-3.172892697	-4.82E-07	0.033333376
-1.261717644	-1.10E-05	0.035057386	-3.163599361	-4.91E-07	0.033333377
-1.254771215	0.000315193	0.033287128	-3.154306025	-5.00E-07	0.033333378
-1.245322252	-0.000803107	0.031439197	-3.145012689	-5.10E-07	0.033333379
-1.236013894	0.000638459	0.029899636	-3.135719353	-5.20E-07	0.03333338
-1.229404621	0.000528545	0.029827	-3.126426018	-5.29E-07	0.03333338
-1.221407972	0.000294933	0.029739116	-3.117132683	-5.39E-07	0.033333381
-1.213532176	0.000680486	0.030280331	-3.107839347	-5.50E-07	0.033333382
-1.205842003	0.000759274	0.031944601	-3.098546012	-5.60E-07	0.033333384
-1.197142632	0.000275652	0.032087602	-3.089252677	-5.70E-07	0.033333385
-1.188679189	-0.00069585	0.031665809	-3.079959343	-5.81E-07	0.033333386
-1.18134765	0.000548718	0.031813698	-3.070666009	-5.92E-07	0.033333387
-1.174092753	0.000829989	0.032486996	-3.061372675	-6.03E-07	0.033333388
-1.164590343	-0.000457382	0.032366343	-3.05207934	-6.14E-07	0.033333389
-1.157506201	0.001497165	0.032169352	-3.042786007	-6.26E-07	0.03333339
-1.147971344	-3.42923E-05	0.031551948	-3.033492673	-6.37E-07	0.033333391
-1.140194309	0.000758786	0.030778104	-3.02419934	-6.49E-07	0.033333392
-1.130038746	0.000493076	0.030877405	-3.014906006	-6.61E-07	0.033333394
-1.124500909	0.001042547	0.030942561	-3.005612674	-6.73E-07	0.033333395
-1.116195129	0.000919202	0.031421182	-2.996319341	-6.85E-07	0.033333396
-1.106772686	0.001388435	0.031960845	-2.987026008	-6.98E-07	0.033333397
-1.099419128	0.002357914	0.031842649	-2.977732676	-7.10E-07	0.033333399
-1.09171161	0.000426035	0.031984762	-2.968439343	-7.23E-07	0.0333334
-1.083554246	-0.000283113	0.032992727	-2.959146011	-7.35E-07	0.033333401
-1.076069879	-0.000428256	0.03394115	-2.949852679	-7.48E-07	0.033333402
-1.067163136	0.000307689	0.035461186	-2.940559347	-7.61E-07	0.033333404
-1.060149166	0.001069515	0.03646892	-2.931266015	-7.75E-07	0.033333405
-1.051207486	-4.48236E-05	0.033295345	-2.921972684	-7.88E-07	0.033333407
-1.042701174	0.000563459	0.030407659	-2.912679353	-8.02E-07	0.033333408
-1.03562934	-0.000169832	0.02992254	-2.903386022	-8.16E-07	0.03333341
-1.026647488	7.35E-06	0.029512827	-2.894092692	-8.31E-07	0.033333411
-1.018393412	0.000512092	0.030223005	-2.884799362	-8.45E-07	0.033333413
-1.011488056	0.001965364	0.03081714	-2.875506032	-8.61E-07	0.033333414
-1.003313623	-0.000192952	0.03011157	-2.866212703	-8.76E-07	0.033333416
-0.994630425	0.000952728	0.029349224	-2.856919374	-8.91E-07	0.033333417
-0.987900921	0.001912094	0.031043319	-2.847626044	-9.07E-07	0.033333419
-0.977806679	0.000511183	0.033004823	-2.838332716	-9.23E-07	0.033333421
-0.969206192	0.001732906	0.031274287	-2.829039388	-9.39E-07	0.033333423
-0.960518016	0.000405401	0.029526107	-2.81974606	-9.55E-07	0.033333424
-0.954916745	0.000752656	0.029190485	-2.810452732	-9.72E-07	0.033333426
-0.945606603	0.001114532	0.029680062	-2.801159405	-9.89E-07	0.033333428
-0.937144329	0.000967975	0.030006883	-2.791866078	-1.01E-06	0.03333343
-0.930402735	0.001242385	0.030243891	-2.782572752	-1.02E-06	0.033333432
-0.922501683	0.000340383	0.029669051	-2.773279425	-1.04E-06	0.033333434
-0.913787001	0.001054383	0.029009775	-2.763986099	-1.06E-06	0.033333436
-0.903719533	-0.000279647	0.032448805	-2.754692773	-1.08E-06	0.033333438
-0.89840386	-0.000328106	0.034432419	-2.745399447	-1.10E-06	0.03333344
-0.889296643	0.000521184	0.034749903	-2.736106122	-1.12E-06	0.033333442
-0.882389411	0.000207241	0.034990694	-2.726812797	-1.13E-06	0.033333444
-0.874059281	0.000396459	0.032322619	-2.717519472	-1.15E-06	0.033333446
-0.864024461	0.001648714	0.031304147	-2.708226147	-1.17E-06	0.033333448
-0.859076834	0.000437751	0.032255113	-2.698932822	-1.19E-06	0.03333345
-0.849088353	-0.000148531	0.034174965	-2.689639499	-1.21E-06	0.033333453
-0.841187249	0.000247997	0.032172239	-2.680346176	-1.23E-06	0.033333455
-0.832890052	0.000433926	0.029882154	-2.671052853	-1.26E-06	0.033333457
-0.824370984	0.000649303	0.030115485	-2.66175953	-1.28E-06	0.03333346
-0.817175143	0.00011979	0.030358162	-2.652466208	-1.30E-06	0.033333462
-0.810644427	0.00099156	0.030451583	-2.643172887	-1.32E-06	0.033333465
-0.801719421	2.17193E-05	0.030541854	-2.633879566	-1.34E-06	0.033333467
-0.792856267	0.001177041	0.033367737	-2.624586245	-1.37E-06	0.03333347
-0.783507401	0.001462688	0.034949035	-2.615292925	-1.39E-06	0.033333473
-0.775709252	-5.71935E-05	0.033488417	-2.605999605	-1.41E-06	0.033333475
-0.767365829	0.000715863	0.031932519	-2.596706285	-1.44E-06	0.033333478
-0.760195061	0.001996445	0.030612744	-2.587412966	-1.46E-06	0.033333481
-0.751246742	0.003177107	0.028965812	-2.578119648	-1.49E-06	0.033333484
-0.743273467	0.00149977	0.030181937	-2.56882633	-1.51E-06	0.033333487
-0.735113369	0.000978065	0.031363415	-2.559533012	-1.54E-06	0.03333349
-0.727423701	0.000743576	0.031332455	-2.550239695	-1.56E-06	0.033333493
-0.719706582	0.000677344	0.031301384	-2.540946379	-1.59E-06	0.033333496
-0.712865378	6.43646E-05	0.031027144	-2.531653063	-1.62E-06	0.033333499
-0.703933184	0.000787383	0.030655947	-2.522359748	-1.64E-06	0.033333503
-0.694307446	-0.001026055	0.031199472	-2.513066432	-1.67E-06	0.033333506
-0.688473633	0.001118604	0.031739702	-2.503773117	-1.70E-06	0.033333509
-0.676796881	0.000594713	0.03254378	-2.494479802	-1.73E-06	0.033333513
-0.670760831	0.000385386	0.031857782	-2.485186489	-1.76E-06	0.033333516
-0.661964001	-0.00106869	0.03050236	-2.475893176	-1.79E-06	0.03333352
-0.654334625	0.00058411	0.03003621	-2.466599863	-1.82E-06	0.033333524
-0.646592684	0.002811794	0.030790471	-2.457306553	-1.85E-06	0.033333527
-0.638583102	-0.0004028	0.031570807	-2.448013241	-1.88E-06	0.033333531
-0.629921515	0.001421501	0.03270188	-2.438719932	-1.91E-06	0.033333535
-0.622427528	0.001210937	0.033441682	-2.429426622	-1.95E-06	0.033333539
-0.613195788	0.000712554	0.031636446	-2.420133314	-1.98E-06	0.033333543
-0.605827816	-0.001134302	0.030195663	-2.410840007	-2.02E-06	0.033333548
-0.59856004	-0.001667416	0.030862744	-2.401546701	-2.05E-06	0.033333552
-0.589017435	-0.000826537	0.031397227	-2.392253395	-2.09E-06	0.033333557
-0.580497508	0.000304675	0.03020578	-2.382960089	-2.13E-06	0.033333561
-0.572883529	0.000807372	0.029743754	-2.373666785	-2.16E-06	0.033333566
-0.563916534	0.000224737	0.031530292	-2.36437348	-2.20E-06	0.033333571
-0.556515784	0.000463433	0.033004779	-2.355080177	-2.24E-06	0.033333575
-0.549273807	-0.001401371	0.032030796	-2.345786875	-2.28E-06	0.03333358
-0.540982998	7.23E-07	0.030594143	-2.336493574	-2.32E-06	0.033333585
-0.532182837	0.000742808	0.032198758	-2.327200273	-2.36E-06	0.033333591
-0.523756482	0.001339338	0.033326588	-2.317906973	-2.40E-06	0.033333596
-0.515843998	0.000606671	0.030730165	-2.308613674	-2.44E-06	0.033333601
-0.50821519	-0.000475407	0.030398183	-2.299320376	-2.48E-06	0.033333607
-0.499653053	-0.00038464	0.033999042	-2.290027078	-2.53E-06	0.033333612
-0.491163986	0.000821048	0.033938915	-2.280733782	-2.57E-06	0.033333618
-0.483996357	0.000330654	0.031874872	-2.271440486	-2.62E-06	0.033333624
-0.476022569	-6.26926E-05	0.030010232	-2.262147191	-2.66E-06	0.03333363
-0.467393812	3.61706E-05	0.031072838	-2.252853897	-2.71E-06	0.033333636
-0.459113117	0.000954555	0.03190579	-2.243560604	-2.75E-06	0.033333642
-0.45043423	0.000220521	0.031635437	-2.234267313	-2.80E-06	0.033333649
-0.445365815	0.000874384	0.031610581	-2.224974023	-2.85E-06	0.033333656
-0.435324801	0.00075261	0.032475878	-2.215680734	-2.90E-06	0.033333662
-0.426766861	0.001907358	0.031100767	-2.206387445	-2.96E-06	0.033333669
-0.419382998	0.001793302	0.029074455	-2.197094159	-3.01E-06	0.033333676
-0.411906695	0.000905415	0.028105998	-2.187800874	-3.06E-06	0.033333684
-0.403478137	5.26071E-05	0.030965507	-2.17850759	-3.12E-06	0.033333691
-0.393896637	0.001328242	0.032702067	-2.169214307	-3.17E-06	0.033333699
-0.38732812	0.000492843	0.032907187	-2.159921025	-3.23E-06	0.033333707
-0.37835964	0.001711541	0.032135122	-2.150627745	-3.29E-06	0.033333715
-0.370155442	0.001283334	0.029326942	-2.141334466	-3.35E-06	0.033333723
-0.362334076	0.000660251	0.028836537	-2.132041188	-3.41E-06	0.033333731
-0.353670953	0.000574253	0.030036462	-2.12274791	-3.47E-06	0.03333374
-0.345704093	0.000386795	0.031026541	-2.113454636	-3.54E-06	0.033333749
-0.337851343	0.001161057	0.031092575	-2.104161361	-3.60E-06	0.033333757
-0.330231719	0.000617436	0.030949408	-2.094868088	-3.66E-06	0.033333767
-0.320989479	8.61216E-05	0.030357818	-2.085574816	-3.73E-06	0.033333776
-0.314759077	0.001070471	0.030175402	-2.076281545	-3.80E-06	0.033333786
-0.303220448	-0.000360802	0.031120764	-2.066988276	-3.87E-06	0.033333795
-0.297002904	-0.001238911	0.031791157	-2.057695008	-3.93E-06	0.033333805
-0.291062987	-9.9542E-05	0.032492589	-2.048401742	-4.01E-06	0.033333816
-0.280328909	0.000102453	0.033254871	-2.039108479	-4.08E-06	0.033333826
