exp: a=1.6 x/lambda	exp: a=1.6 y/lambda	exp: a=2.0 x/lambda	exp: a=2.0 y/lambda	theory: x/lambda	theory: y/lambda
0.379445638	0.008501067	0.492999918	0.012880492	0.816117584	0.001283887
0.383450093	0.008414116	0.50011815	0.010318505	0.825782831	0.000927843
0.387803827	0.011017416	0.505248366	0.011505148	0.835426862	0.000580863
0.392599853	0.010681771	0.510055194	0.011512573	0.845048594	0.000244176
0.397702987	0.01057898	0.516015602	0.011303622	0.8546476	-8.10E-05
0.402628402	0.008837121	0.522850299	0.011199648	0.864224083	-0.000393663
0.407659587	0.010625445	0.527885406	0.009194331	0.873778834	-0.000692636
0.412314045	0.010554724	0.534528689	0.011121506	0.883313177	-0.000976963
0.414411678	0.009629696	0.539440973	0.010967038	0.892828894	-0.001245715
0.420573207	0.008719005	0.545186126	0.00884987	0.902328148	-0.001498033
0.426785342	0.010953287	0.551549012	0.013675053	0.911813405	-0.001733129
0.427115471	0.010691137	0.556862202	0.010305957	0.921287357	-0.001950287
0.431973788	0.010400594	0.56250837	0.009052046	0.930752843	-0.002148866
0.436562665	0.010772368	0.567720642	0.011556284	0.940212789	-0.002328298
0.441346608	0.010707573	0.573176312	0.011195049	0.949587754	-0.002478414
0.446263292	0.010315822	0.579505141	0.010431496	0.958948183	-0.002609488
0.44903259	0.009700143	0.584045802	0.0093557	0.968296912	-0.00272132
0.453790716	0.008095364	0.590777692	0.010293839	0.977636684	-0.002813776
0.46016178	0.011756096	0.595728902	0.011136864	0.986970114	-0.002886793
0.465964387	0.010449206	0.601574753	0.010827786	0.996299667	-0.002940371
0.467781921	0.009396014	0.60915639	0.009121281	1.005627637	-0.002974571
0.471013583	0.010862827	0.614697176	0.010586758	1.014956136	-0.002989515
0.475663558	0.010362239	0.620393959	0.00977126	1.024287088	-0.002985384
0.48249696	0.010932832	0.625002228	0.007172895	1.033622222	-0.002962413
0.48558	0.010535355	0.628631327	0.010905835	1.042963072	-0.002920893
0.48886002	0.010585867	0.63785665	0.009875415	1.05231098	-0.002861169
0.49293648	0.010818702	0.641975579	0.009057527	1.061667101	-0.002783632
0.500627443	0.010690829	0.64657198	0.008519404	1.071032403	-0.002688727
0.505606758	0.010343288	0.654119151	0.006707808	1.080407681	-0.002576942
0.507060089	0.010467061	0.658539073	0.009202089	1.089793559	-0.002448813
0.512525208	0.011619526	0.665285658	0.008942747	1.099190498	-0.002304919
0.515376208	0.010421944	0.668610313	0.008091713	1.10859881	-0.002145879
0.52238372	0.011344368	0.676979329	0.009434481	1.118018661	-0.001972355
0.524956778	0.010377402	0.682092579	0.006896919	1.127450083	-0.001785044
0.531251051	0.009554953	0.688608141	0.006843636	1.136892981	-0.001584681
0.53702483	0.010613199	0.693204781	0.007480478	1.146347145	-0.001372034
0.539172641	0.010425853	0.697940745	0.005984233	1.155812254	-0.001147903
0.544361159	0.010461823	0.704949617	0.00510383	1.16528789	-0.000913117
0.548688162	0.008122726	0.712019198	0.006799037	1.174773543	-0.000668536
0.554542539	0.010093695	0.715692968	0.006689267	1.184268623	-0.000415041
0.557543481	0.009457368	0.720944339	0.006959826	1.193772463	-0.00015354
0.56164899	0.009763349	0.727568779	0.005118668	1.203284333	0.00011504
0.564175926	0.010129562	0.734530577	0.00594918	1.212803444	0.000389754
0.569018087	0.010001531	0.739855285	0.005335776	1.222328957	0.00066964
0.574110749	0.010111916	0.744097366	0.00638688	1.231859993	0.000953722
0.578948226	0.010405391	0.750612958	0.004319778	1.241395638	0.001241013
0.583831449	0.010459448	0.758115617	0.004750407	1.25093495	0.00153052
0.587235844	0.007214584	0.762348399	0.005262664	1.260476969	0.001821239
0.590727999	0.010529103	0.765940831	0.006657436	1.270020725	0.002112168
0.594705487	0.007799725	0.773039163	0.006523833	1.279565241	0.0024023
0.600080971	0.007928254	0.777819848	0.004334987	1.289109547	0.002690632
0.604961726	0.009733399	0.783503258	0.005388279	1.29865268	0.002976164
0.60982282	0.008444537	0.788268022	0.003900051	1.308193697	0.003257905
0.613378993	0.010123347	0.796242696	0.002837503	1.317731681	0.003534871
0.618351303	0.007284722	0.80101999	0.002542998	1.327265748	0.003806091
0.621528387	0.009417282	0.806588046	0.002601627	1.336795053	0.004070611
0.625381921	0.009758693	0.813552862	0.00241784	1.3463188	0.00432749
0.63030934	0.008929946	0.817064429	0.003010776	1.355836251	0.004575809
0.637417062	0.010104639	0.82308648	0.001010049	1.365346729	0.004814672
0.640259732	0.00658726	0.829934985	0.002468694	1.374849629	0.005043205
0.646551965	0.009238372	0.835909054	0.002344646	1.384344426	0.005260563
0.647735049	0.005328648	0.841538709	0.00249328	1.393830684	5.47E-03
0.654569568	0.004019158	0.846986937	0.001001927	1.40330806	0.005658518
0.657578337	0.004999472	0.853292663	0.00046582	1.412776316	0.005837578
0.661884503	0.006134537	0.858100063	0.002441002	1.422235326	0.006002393
0.667037317	0.007472764	0.86472965	0.002440878	1.431685084	0.006152285
0.67124424	0.006405962	0.868290077	0.002176564	1.441125713	0.006286615
0.675098416	0.005016973	0.874969526	0.003785877	1.450557471	0.006404787
0.679359298	0.005849415	0.881180807	0.002196742	1.459980761	0.006506249
0.685390584	0.007770257	0.885730802	0.001912846	1.469396137	0.006590492
0.687973773	0.002713967	0.893032276	0.002506112	1.478804312	0.006657059
0.691488984	7.30E-03	0.895666351	0.000569003	1.48820616	0.006705539
0.696767047	0.007126176	0.903331015	0.001650933	1.497602729	0.006735574
0.702401265	7.01E-03	0.909555569	0.002282428	1.506995238	0.006746857
0.705567585	0.006860045	0.915188009	0.00057366	1.516385081	0.006739138
0.711476567	0.004930024	0.919968481	0.00350359	1.525773828	0.006712223
0.716239007	0.00492228	0.928189143	-0.001018354	1.535163224	0.006665976
0.723276088	0.003420839	0.932946286	0.000317879	1.544555179	0.006600323
0.727089646	0.004613062	0.938697518	0.00023879	1.553951765	0.006515251
0.730993203	0.004961022	0.942759856	0.000932327	1.563355198	0.00641081
0.735957105	0.004945571	0.948093146	0.000184008	1.572767819	0.00628712
0.740594225	0.005063185	0.956113359	0.000131219	1.582192074	0.006144364
0.745666576	0.004750761	0.960829698	0.000253111	1.591630476	0.005982801
0.750429429	0.004896905	0.967699629	-0.000161477	1.601085571	0.005802757
0.755690397	0.005201157	0.972073975	0.000389823	1.610627478	0.00559268
0.760521011	0.005020354	0.976797267	0.001848182	1.620176078	0.005364385
0.76279012	0.003734831	0.982902544	0.000245805	1.629733845	5.12E-03
0.767176229	0.004995088	0.988352964	0.001593994	1.639303101	0.004856034
0.770211322	0.002473268	0.993254252	-0.00089824	1.648885947	0.004577602
0.775181402	0.003523299	0.998794403	0.000199033	1.658484188	0.004284197
0.780349902	0.003324745	1.005360283	0.000461113	1.668099264	0.003976798
0.783949138	0.004031459	1.012388828	-0.000182208	1.677732182	0.00365645
0.789250924	0.003084945	1.014907034	-0.001154714	1.687383453	0.003324257
0.792149327	0.002103503	1.022398427	0.000702428	1.697053042	0.002981382
0.798853737	0.002839814	1.029915263	3.94E-05	1.706740328	0.002629041
0.801870898	0.000806076	1.033951817	0.000514933	1.716444091	0.002268498
0.806827809	-0.000427239	1.041348772	-0.000237214	1.72616252	0.001901061
0.811843546	0.003885684	1.045225043	-0.000657746	1.735893248	0.001528077
0.813865423	0.002415633	1.051786962	0.001721761	1.745633412	0.001150924
0.817207221	0.001724999	1.057301367	0.000970644	1.755379743	0.000771005
0.823722834	-0.000338521	1.062739621	0.001646609	1.765128678	0.00038974
0.828777654	0.004655105	1.068574368	6.38E-05	1.774876489	8.56E-06
0.831287844	0.001495412	1.074449721	-0.000218783	1.784619423	-0.000371115
0.834119674	0.000828958	1.082136678	-0.000377871	1.794353847	-0.000747856
0.838873045	0.002128638	1.085722225	-0.000496334	1.804076381	-0.001120262
0.845211273	0.00169759	1.091627994	-0.001239172	1.813784023	-0.001486956
0.848333759	0.002127589	1.099220813	0.001890818	1.823474251	-0.001846593
0.852736489	0.000372403	1.105436823	-0.000164344	1.833145095	-0.002197865
0.857985702	-0.000234094	1.111061555	0.001682194	1.842795192	-0.002539513
0.865418006	0.000653251	1.115302882	0.001060265	1.852423802	-0.002870328
0.868178518	-0.000356012	1.120505673	-0.000395197	1.862030801	-0.003189155
0.873059435	-0.000627581	1.128431784	0.001701284	1.871616658	-0.003494899
0.873634425	-0.001327037	1.132273083	0.00131506	1.881182384	-0.003786525
0.877978167	-0.000470911	1.138391724	0.000242098	1.890729472	-0.004063066
0.884250525	1.83E-06	1.145305882	0.001680929	1.900259825	-0.004323621
0.890094393	-0.00047226	1.149018465	0.003077458	1.909775685	-0.00456736
0.892728138	-0.000498832	1.15561526	0.001849557	1.919279549	-0.004793526
0.898841881	0.000926297	1.16146561	0.001458317	1.928774106	-0.005001436
0.902771377	-0.000701941	1.16680053	0.000908641	1.938262162	-0.005190478
0.904969865	-0.000710167	1.171970836	0.00119203	1.94766466	-0.005349896
0.910104916	-0.001578469	1.177397085	0.005275652	1.957051649	-0.005490434
0.914831407	-0.00155147	1.182058236	0.001416439	1.966425911	-0.005611854
0.919605417	0.000638256	1.188647058	0.001417244	1.97579016	-0.005713983
0.923279964	-0.000155875	1.192951709	0.002635853	1.985147007	-0.005796722
0.929075578	-0.001741228	1.200217339	0.001596746	1.994498929	-0.005860033
0.930367707	-0.001699263	1.20602612	0.00323696	2.003848254	-0.005903945
0.936728584	-0.000613504	1.2137493	0.003464882	2.013197137	-0.005928548
0.941461675	-0.000370785	1.219537002	0.003947373	2.022547556	-0.005933991
0.944960871	-0.002283034	1.223324918	0.005475197	2.0319013	-0.00592048
0.949413847	-6.37E-07	1.229400401	0.004983801	2.041259972	-0.005888278
0.951572888	-0.000905591	1.235960368	0.003773744	2.050624985	-0.005837701
0.956666165	-0.003073898	1.239961768	0.005199164	2.059997566	-0.005769118
0.961588768	-0.002038843	1.24686584	0.005253653	2.069378759	-0.005682946
0.96666078	-0.002311646	1.251707954	0.003748018	2.078769432	-0.005579652
0.971029066	-0.001130567	1.25827774	0.004179334	2.088170283	-0.00545975
0.977108223	-0.002944542	1.264263922	0.004860014	2.097581846	-0.005323798
0.980622552	-0.000487267	1.269254339	0.004736761	2.107004502	-0.005172396
0.985237238	-0.002027243	1.27635677	0.004488898	2.116438485	-0.005006186
0.990948503	-0.002343421	1.280913038	0.005774339	2.125883892	-0.004825849
0.993836217	-0.002716984	1.287383408	0.007005411	2.135340691	-0.004632104
0.996575791	8.92E-05	1.291109915	0.006767746	2.144808727	-0.004425703
1.001789894	-0.001148527	1.298972501	0.006621427	2.154287739	-0.004207434
1.006139835	-0.002844615	1.304510161	0.005720349	2.163777358	-0.003978113
1.011489417	-0.003250773	1.309934141	0.008026899	2.173277125	-0.003738587
