lambda/a	a [mm]	<h> [mm]	slope k
3	0.0015875	3.89E-05	0.006384644
3	0.0015875	0.000112595	0.00339035
3	0.0015875	0.000187269	0.00210479
3	0.0015875	0.000564461	0.000460812
3	0.0015875	6.43E-05	0.005031215
3	0.0015875	0.000843366	8.02E-05
3	0.0015875	0.000465473	0.000736109
3	0.0015875	3.99E-05	0.006515102
3	0.0015875	0.000846308	0.000119512
3	0.0015875	0.000532436	0.000530838
3	0.0015875	0.000250349	0.001559345
3	0.0015875	6.36E-05	0.005187797
3	0.0015875	6.27E-05	0.005089948
3	0.0015875	5.18E-05	0.005875465
3	0.0015875	0.00046961	0.00059372
3	0.0015875	0.000226218	0.001902395
3	0.0015875	4.98E-05	0.005917087
3	0.0015875	0.000469359	0.000743598
3	0.0015875	0.000368209	0.000965917
3	0.0015875	0.000974904	9.06E-05
3	0.0015875	0.000378055	0.000639585
6	0.0015875	3.06E-05	0.00599739
6	0.0015875	3.40E-05	0.005228325
6	0.0015875	0.000981165	0.000510741
6	0.0015875	0.000252959	0.002631677
6	0.0015875	0.000788023	0.000824011
6	0.0015875	0.000444938	0.001372297
6	0.0015875	0.000244752	0.002342978
6	0.0015875	0.000477716	0.001572627
6	0.0015875	0.000326021	0.002094691
6	0.0015875	0.000119835	0.003547393
6	0.0015875	0.000974411	0.000559584
6	0.0015875	0.000418287	0.001619889
6	0.0015875	0.000750426	0.000715272
6	0.0015875	0.000129102	0.003462903
6	0.0015875	0.000587403	0.00107262
6	0.0015875	0.00032936	0.001835152
6	0.0015875	0.000781272	0.000950492
6	0.0015875	0.000648412	0.000899867
6	0.0015875	2.77E-05	0.005264485
6	0.0015875	0.000248862	0.002364761
6	0.0015875	0.001770925	4.81E-05
6	0.0015875	0.000574363	0.001264411
6	0.0015875	0.001744652	0.000189481
6	0.0015875	0.000503046	0.001219346
6	0.0015875	0.000412502	0.001693036
6	0.0015875	0.000546217	0.00136294
6	0.0015875	0.000232514	0.002441517
6	0.0015875	0.000179342	0.003116535
6	0.0015875	0.000255529	0.002334073
6	0.0015875	0.000276474	0.002195161
6	0.0015875	4.92E-05	0.004692396
6	0.0015875	0.001010052	0.000405147
6	0.0015875	0.000324309	0.002143582
6	0.0015875	0.001100274	0.000499885
6	0.0015875	0.000178377	0.002909523
6	0.0015875	0.000500214	0.001502062
6	0.0015875	0.000777322	0.000810603
6	0.0015875	0.000363655	0.001829606
6	0.0015875	0.000164788	0.003194743
6	0.0015875	0.001622472	0.000118358
6	0.0015875	0.001265701	0.000422405
6	0.0015875	4.96E-05	0.004517512
6	0.0015875	0.000391129	0.001879672
6	0.0015875	0.001315721	6.67E-05
9	0.0015875	4.02E-05	0.004140249
9	0.0015875	4.08E-05	0.004433221
9	0.0015875	0.000552249	0.001502291
9	0.0015875	0.000142102	0.003294923
9	0.0015875	0.00130506	0.000254563
9	0.0015875	0.000159607	0.003106951
9	0.0015875	0.000677871	0.00126991
9	0.0015875	0.000563307	0.001754787
9	0.0015875	0.000157472	0.003061233
9	0.0015875	0.000897416	0.001028746
9	0.0015875	0.000535293	0.00162279
9	0.0015875	0.000346593	0.002388766
9	0.0015875	0.000796442	0.000926039
9	0.0015875	0.000370058	0.002272037
9	0.0015875	4.57E-05	0.004754888
9	0.0015875	0.000677663	0.001386049
9	0.0015875	0.00020368	0.00289554
9	0.0015875	0.001103825	0.000642831
9	0.0015875	0.000411719	0.002033446
9	0.0015875	4.36E-05	0.00452234
9	0.0015875	0.000141351	0.003295527
9	0.0015875	0.000189841	0.003139416
9	0.0015875	0.000253389	0.002871975
9	0.0015875	0.000737921	0.00132457
9	0.0015875	0.000548248	0.001678421
9	0.0015875	0.000514419	0.001837031
9	0.0015875	0.000304875	0.00261357
9	0.0015875	4.43E-05	0.004437998
9	0.0015875	0.000432345	0.001901531
9	0.0015875	5.73E-05	0.003850449
9	0.0015875	0.000205398	0.003268399
9	0.0015875	0.001584749	0.000284665
9	0.0015875	0.000706096	0.001259432
9	0.0015875	0.000683188	0.001487958
9	0.0015875	0.000696957	0.001399752
9	0.0015875	0.000136269	0.003596019
9	0.0015875	6.28E-05	0.004229646
9	0.0015875	0.00069575	0.001545399
9	0.0015875	0.000242805	0.002868013
9	0.0015875	0.000279917	0.002443728
9	0.0015875	0.000242284	0.002790538
9	0.0015875	0.000956059	0.000909745
9	0.0015875	0.000912687	0.000645744
9	0.0015875	0.000278061	0.002570863
