exp: x/lambda	exp: y/lambda	exp:z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda								
-1.387632258	0.001503352	0.029012859	-3.303000432	-1.11E-06	0.03333343								
-1.378644577	-0.001930034	0.025957584	-3.293707115	-1.14E-06	0.033333432								
-1.369235394	0.001276322	0.030287536	-3.284413798	-1.16E-06	0.033333434								
-1.363381507	0.00263353	0.030066507	-3.27512048	-1.18E-06	0.033333437								
-1.355188169	0.001637853	0.027529959	-3.265827164	-1.21E-06	0.033333439								
-1.344919307	0.001273255	0.028464459	-3.256533848	-1.23E-06	0.033333441								
-1.337675856	0.000701872	0.031921275	-3.247240532	-1.26E-06	0.033333444								
-1.330342149	0.002224845	0.035421163	-3.237947216	-1.29E-06	0.033333446								
-1.321336165	0.002205682	0.032217341	-3.228653901	-1.31E-06	0.033333449								
-1.315478009	0.001893403	0.029938749	-3.219360586	-1.34E-06	0.033333451								
-1.306645081	0.001110051	0.029274496	-3.210067272	-1.36E-06	0.033333454								
-1.297622124	-0.001250744	0.02972042	-3.200773958	-1.39E-06	0.033333456								
-1.290959305	0.000719813	0.030049704	-3.191480644	-1.42E-06	0.033333459								
-1.281338637	0.000938829	0.029889467	-3.182187331	-1.45E-06	0.033333462								
-1.273793063	0.002689717	0.029731284	-3.172894018	-1.47E-06	0.033333464								
-1.265594178	0.000598084	0.029136162	-3.163600706	-1.50E-06	0.033333467								
-1.256161326	-0.000670159	0.032975114	-3.154307394	-1.53E-06	0.03333347								
-1.247692095	0.000906764	0.033194814	-3.145014083	-1.56E-06	0.033333473								
-1.240685474	0.000781259	0.031010218	-3.135720773	-1.59E-06	0.033333476								
-1.23273543	0.000710423	0.028531471	-3.126427462	-1.62E-06	0.033333479								
-1.226025773	-0.000320662	0.026301072	-3.117134153	-1.65E-06	0.033333482								
-1.218114243	-0.000132067	0.023573604	-3.107840844	-1.68E-06	0.033333485								
-1.209252825	0.000970633	0.020518667	-3.098547536	-1.71E-06	0.033333488								
-1.200713595	0.000408109	0.023269629	-3.089254228	-1.75E-06	0.033333491								
-1.191819542	0.001585888	0.02684753	-3.079960921	-1.78E-06	0.033333495								
