exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-1.35595077	0.000708219	0.030758875	-3.284413216	-7.30E-07	0.033333397
-1.349500851	0.00062129	0.03362123	-3.275119887	-7.45E-07	0.033333398
-1.336150064	0.000848452	0.034816828	-3.265826559	-7.61E-07	0.0333334
-1.33105348	-0.000362153	0.033691128	-3.256533231	-7.77E-07	0.033333401
-1.321301759	4.61657E-05	0.029867899	-3.247239904	-7.92E-07	0.033333403
-1.312226171	-0.0001545	0.028927233	-3.237946576	-8.09E-07	0.033333404
-1.304749779	0.001819431	0.030410781	-3.228653249	-8.25E-07	0.033333406
-1.298138877	7.1932E-05	0.030794361	-3.219359922	-8.41E-07	0.033333407
-1.287859926	-0.000763324	0.029378106	-3.210066596	-8.58E-07	0.033333409
-1.279635582	-7.83395E-05	0.02862669	-3.200773269	-8.75E-07	0.03333341
-1.272798457	-0.000529339	0.028538178	-3.191479943	-8.93E-07	0.033333412
-1.264236083	0.001255407	0.028461686	-3.182186618	-9.10E-07	0.033333414
-1.253178796	-0.000850777	0.028145082	-3.172893292	-9.28E-07	0.033333416
-1.246279424	-0.001301915	0.028196579	-3.163599967	-9.46E-07	0.033333417
-1.239451988	0.000503933	0.028568331	-3.154306642	-9.64E-07	0.033333419
-1.228428131	-0.001002205	0.02971417	-3.145013317	-9.83E-07	0.033333421
-1.220026919	-0.001346783	0.030690133	-3.135719993	-1.00E-06	0.033333423
-1.212960423	0.000417643	0.031239226	-3.126426669	-1.02E-06	0.033333425
-1.204449548	-4.20155E-05	0.031377298	-3.117133345	-1.04E-06	0.033333427
-1.195633945	0.002571215	0.030884771	-3.107840022	-1.06E-06	0.033333428
-1.186648138	0.000679948	0.030480369	-3.098546699	-1.08E-06	0.03333343
-1.180031031	-0.000321655	0.031078323	-3.089253376	-1.10E-06	0.033333432
-1.170132688	-0.000505183	0.032152117	-3.079960054	-1.12E-06	0.033333434
-1.161761584	-0.000785902	0.029256038	-3.070666732	-1.14E-06	0.033333437
-1.152395167	0.001009563	0.023634077	-3.06137341	-1.16E-06	0.033333439
-1.145402298	2.78797E-05	0.025871409	-3.052080089	-1.18E-06	0.033333441
-1.135716101	-0.000929626	0.035693568	-3.042786768	-1.21E-06	0.033333443
-1.129180262	0.001327525	0.036810349	-3.033493448	-1.23E-06	0.033333445
-1.120108212	0.000818381	0.033376079	-3.024200127	-1.25E-06	0.033333448
-1.110117983	0.00149388	0.029390899	-3.014906808	-1.27E-06	0.03333345
-1.103905058	0.00141849	0.028739211	-3.005613488	-1.30E-06	0.033333452
-1.094891821	-0.000184685	0.030435294	-2.996320169	-1.32E-06	0.033333455
-1.086031219	0.001030762	0.03309534	-2.98702685	-1.34E-06	0.033333457
-1.078668945	0.001731661	0.033915709	-2.977733532	-1.37E-06	0.03333346
-1.068838644	-0.00060507	0.033007367	-2.968440214	-1.39E-06	0.033333462
-1.060781722	0.000186695	0.031179488	-2.959146897	-1.42E-06	0.033333465
-1.051409728	0.000843557	0.029998103	-2.94985358	-1.44E-06	0.033333467
-1.046015255	0.000100182	0.030458521	-2.940560264	-1.47E-06	0.03333347
-1.037203008	0.000617648	0.031810646	-2.931266948	-1.50E-06	0.033333473
-1.029076234	-0.00038024	0.03216215	-2.921973632	-1.52E-06	0.033333475
-1.018532155	0.000452325	0.031661932	-2.912680317	-1.55E-06	0.033333478
-1.008739403	0.000706764	0.032339215	-2.903387002	-1.58E-06	0.033333481
-1.001021058	0.000293632	0.033381151	-2.894093688	-1.60E-06	0.033333484
-0.992395072	0.001164985	0.033829665	-2.884800375	-1.63E-06	0.033333487
-0.986117465	0.001655458	0.032926585	-2.875507061	-1.66E-06	0.03333349
-0.975726162	0.000909477	0.028557781	-2.866213749	-1.69E-06	0.033333493
-0.96896289	0.000719443	0.026254403	-2.856920437	-1.72E-06	0.033333496
-0.958016488	0.001064645	0.029918165	-2.847627125	-1.75E-06	0.0333335
-0.949591926	-0.00088273	0.03574264	-2.838333814	-1.78E-06	0.033333503
-0.941164476	0.001769799	0.034943031	-2.829040504	-1.81E-06	0.033333506
-0.935858227	0.001969403	0.032751158	-2.819747194	-1.84E-06	0.03333351
-0.925354259	0.002272908	0.029641733	-2.810453884	-1.88E-06	0.033333513
-0.915380619	0.002320856	0.029224051	-2.801160575	-1.91E-06	0.033333517
-0.908550261	-5.11984E-05	0.030680472	-2.791867267	-1.94E-06	0.03333352
-0.90172297	0.001538811	0.032506586	-2.78257396	-1.97E-06	0.033333524
-0.892907876	-0.000273372	0.033321844	-2.773280653	-2.01E-06	0.033333528
-0.884065935	0.00268516	0.032742886	-2.763987346	-2.04E-06	0.033333531
-0.875348104	0.002369755	0.032372811	-2.754694041	-2.08E-06	0.033333535
-0.868834899	0.000390539	0.032149178	-2.745400736	-2.11E-06	0.033333539
-0.85773206	0.002105897	0.031401811	-2.736107431	-2.15E-06	0.033333543
-0.851293871	0.000300715	0.032184584	-2.726814128	-2.19E-06	0.033333547
-0.842766727	-0.000123914	0.033423265	-2.717520824	-2.23E-06	0.033333552
-0.833957948	0.000658568	0.031057388	-2.708227522	-2.26E-06	0.033333556
-0.826780005	-0.000108312	0.027032442	-2.698934221	-2.30E-06	0.03333356
-0.815573987	0.001336219	0.024490131	-2.68964092	-2.34E-06	0.033333565
-0.809832042	-0.001551241	0.02729319	-2.68034762	-2.38E-06	0.033333569
-0.799369454	0.000662422	0.031044942	-2.67105432	-2.42E-06	0.033333574
-0.790597093	0.002036252	0.030489749	-2.661761022	-2.46E-06	0.033333579
-0.783256359	0.001180498	0.030515583	-2.652467724	-2.51E-06	0.033333583
-0.775524366	-0.001426744	0.032096231	-2.643174427	-2.55E-06	0.033333588
-0.767364949	0.000254047	0.033316733	-2.633881131	-2.59E-06	0.033333593
-0.757392822	0.001505122	0.032604208	-2.624587835	-2.64E-06	0.033333599
-0.748211931	-0.000121203	0.029998439	-2.615294541	-2.68E-06	0.033333604
-0.741516935	-0.000593999	0.028010212	-2.606001247	-2.73E-06	0.033333609
-0.733138487	-0.002249917	0.0273128	-2.596707954	-2.78E-06	0.033333615
-0.723546195	-0.000745806	0.029817887	-2.587414663	-2.82E-06	0.03333362
-0.716928239	0.000477644	0.031654156	-2.578121372	-2.87E-06	0.033333626
-0.707699776	0.000954127	0.033516328	-2.568828082	-2.92E-06	0.033333632
-0.698734671	0.001776928	0.036506003	-2.559534793	-2.97E-06	0.033333637
-0.691147575	0.001690214	0.038459873	-2.550241505	-3.02E-06	0.033333643
-0.68184925	0.001174945	0.036770151	-2.540948218	-3.07E-06	0.03333365
-0.675365203	0.001097639	0.032770598	-2.531654932	-3.13E-06	0.033333656
-0.664765653	-0.0011393	0.025768148	-2.522361647	-3.18E-06	0.033333662
-0.658683293	0.00133024	0.023941205	-2.513068363	-3.24E-06	0.033333669
-0.647650658	0.000427597	0.02974068	-2.50377508	-3.29E-06	0.033333676
-0.640257094	0.001171674	0.035901755	-2.494481798	-3.35E-06	0.033333682
-0.630547232	0.001275593	0.035875851	-2.485188518	-3.40E-06	0.033333689
-0.622829379	0.002543583	0.032816202	-2.475895238	-3.46E-06	0.033333696
-0.616142784	-0.000938841	0.030670257	-2.46660196	-3.52E-06	0.033333704
-0.607489445	0.001729838	0.029388892	-2.457308683	-3.58E-06	0.033333711
-0.598548047	0.000480664	0.030275619	-2.448015407	-3.65E-06	0.033333719
-0.588023422	0.001297299	0.032989195	-2.438722133	-3.71E-06	0.033333726
-0.581576191	0.001764166	0.034251566	-2.429428859	-3.77E-06	0.033333734
-0.572060563	-0.001379677	0.03408536	-2.420135588	-3.84E-06	0.033333742
-0.563967748	0.00121264	0.031295632	-2.410842317	-3.90E-06	0.033333751
-0.555228121	-0.000928896	0.028809603	-2.401549048	-3.97E-06	0.033333759
-0.546260206	-0.001254346	0.031578332	-2.39225578	-4.04E-06	0.033333768
-0.537076297	0.000534957	0.03479448	-2.382962514	-4.11E-06	0.033333777
-0.529434595	0.00139397	0.034735437	-2.373669249	-4.18E-06	0.033333786
-0.523203077	0.000799776	0.033705631	-2.364375985	-4.25E-06	0.033333795
-0.513552472	0.001469288	0.03219004	-2.355082723	-4.33E-06	0.033333804
-0.503116594	0.000822834	0.031284403	-2.345789463	-4.40E-06	0.033333814
-0.495678827	0.000362127	0.030246324	-2.336496204	-4.48E-06	0.033333824
-0.485555346	0.000388704	0.029887506	-2.327202947	-4.56E-06	0.033333834
-0.476258746	0.000229866	0.030832234	-2.317909692	-4.64E-06	0.033333844
-0.469030527	0.000854922	0.03113066	-2.308616438	-4.72E-06	0.033333855
-0.463636211	0.000222296	0.030714601	-2.299323186	-4.80E-06	0.033333865
-0.453843843	0.000196173	0.031481949	-2.290029936	-4.89E-06	0.033333876
-0.445753043	0.000226297	0.035367326	-2.280736687	-4.97E-06	0.033333888
-0.436211729	0.000330989	0.037258856	-2.271443441	-5.06E-06	0.033333899
-0.42848916	-0.000447821	0.034342134	-2.262150196	-5.15E-06	0.033333911
-0.419420426	-0.000474276	0.031477045	-2.252856953	-5.24E-06	0.033333923
-0.414067677	-0.001194369	0.031130257	-2.243563712	-5.33E-06	0.033333935
-0.404453255	0.000919482	0.030394503	-2.234270474	-5.43E-06	0.033333948
-0.394687351	-0.000536922	0.028594769	-2.224977237	-5.52E-06	0.033333961
-0.387948737	-0.00056666	0.028767965	-2.215684002	-5.62E-06	0.033333974
-0.378234806	-0.000278391	0.033017187	-2.20639077	-5.72E-06	0.033333988
-0.37032326	-0.000337772	0.036065223	-2.19709754	-5.82E-06	0.033334002
-0.361586409	0.002055795	0.035008035	-2.187804312	-5.93E-06	0.033334016
-0.354952337	0.001178614	0.034103117	-2.178511086	-6.03E-06	0.03333403
-0.345002992	-0.000653139	0.034794987	-2.169217863	-6.14E-06	0.033334045
-0.337116451	-0.001529995	0.034179439	-2.159924643	-6.25E-06	0.03333406
-0.326464843	-0.001353565	0.03086227	-2.150631424	-6.37E-06	0.033334076
-0.318261532	0.000285725	0.030958568	-2.141338209	-6.48E-06	0.033334092
-0.312102405	-0.000417525	0.032919247	-2.132044995	-6.60E-06	0.033334108
-0.301404994	0.000486131	0.035095442	-2.122751785	-6.72E-06	0.033334125
-0.294215677	0.000118353	0.034341579	-2.113458577	-6.84E-06	0.033334142
-0.28579929	-0.000688792	0.031988037	-2.104165372	-6.96E-06	0.03333416
-0.277841035	0.000578194	0.029899681	-2.09487217	-7.09E-06	0.033334178
-0.269750089	0.001439271	0.029814652	-2.085578971	-7.22E-06	0.033334196
-0.260665013	0.000800234	0.032726149	-2.076285775	-7.35E-06	0.033334215
